symbol	entrezgene	cgc86	ncgc_haukeland	tcga_pancan_2018	predisp_syndrome_cui	predisp_cancer_cui	lof_known_moi	predisp_cancer_moi	p_oncogene	tsgene	predisp_source	n_trunc_path	n_nontrunc_path	n_nontrunc_benign	benign_missense_rate	path_truncation_rate
ELANE	1991	FALSE	FALSE	TRUE	C1859966	NA	LoF	AD	FALSE	FALSE	TCGA_PANCAN_2018	2	8	0	0	0.2
FAH	2184	FALSE	FALSE	TRUE	NA	NA	LoF	AR	FALSE	FALSE	TCGA_PANCAN_2018	7	7	0	0	0.5
GBA	2629	FALSE	FALSE	TRUE	NA	NA	LoF	AR	FALSE	FALSE	TCGA_PANCAN_2018	10	40	1	0.02	0.2
GJB2	2706	FALSE	FALSE	TRUE	NA	NA	LoF	AD	FALSE	TRUE	TCGA_PANCAN_2018	23	32	3	0.09	0.42
HFE	3077	FALSE	FALSE	TRUE	C0392514	NA	LoF	AR	FALSE	FALSE	TCGA_PANCAN_2018	5	5	0	0	0.5
HMBS	3145	FALSE	FALSE	TRUE	NA	NA	LoF	AD	FALSE	FALSE	TCGA_PANCAN_2018	5	23	0	0	0.18
ITK	3702	FALSE	FALSE	TRUE	C3552634	NA	LoF	AR	FALSE	FALSE	TCGA_PANCAN_2018	2	2	0	0	0.5
MTAP	4507	FALSE	FALSE	TRUE	C1862177	NA	LoF	AD	FALSE	TRUE	TCGA_PANCAN_2018	0	0	1	1	0
POLH	5429	FALSE	FALSE	TRUE	C1848410	NA	LoF	AR	FALSE	FALSE	TCGA_PANCAN_2018	8	1	2	0.67	0.89
RMRP	6023	FALSE	FALSE	TRUE	C0220748	NA	LoF	AR	FALSE	FALSE	TCGA_PANCAN_2018	NA	NA	NA	NA	NA
SERPINA1	5265	FALSE	FALSE	TRUE	C0221757	NA	LoF	AR	FALSE	FALSE	TCGA_PANCAN_2018	8	6	0	0	0.57
SH2D1A	4068	FALSE	FALSE	TRUE	C1868674	NA	LoF	XLR	FALSE	FALSE	TCGA_PANCAN_2018	2	0	0	0	1
SLC25A13	10165	FALSE	FALSE	TRUE	NA	NA	LoF	AR	FALSE	FALSE	TCGA_PANCAN_2018	15	3	0	0	0.83
SOS1	6654	FALSE	FALSE	TRUE	C0028326	NA	GoF	AD	FALSE	FALSE	TCGA_PANCAN_2018	1	21	10	0.32	0.05
SRY	6736	FALSE	FALSE	TRUE	NA	C0206661	NA	NA	FALSE	FALSE	TCGA_PANCAN_2018	12	14	0	0	0.46
TGFBR1	7046	FALSE	FALSE	TRUE	C0546476	NA	LoF	AD	FALSE	FALSE	TCGA_PANCAN_2018	6	8	0	0	0.43
FAS	355	FALSE	FALSE	TRUE	C1328840	NA	LoF	AD	TRUE	TRUE	TCGA_PANCAN_2018	12	8	0	0	0.6
TRIM37	4591	FALSE	FALSE	TRUE	NA	NA	LoF	AR	FALSE	FALSE	TCGA_PANCAN_2018	1	1	0	0	0.5
UROD	7389	FALSE	FALSE	TRUE	C0268323	NA	LoF	AD	FALSE	FALSE	TCGA_PANCAN_2018	3	11	0	0	0.21
CTR9	9646	FALSE	FALSE	TRUE	NA	NA	NA	AD	FALSE	FALSE	TCGA_PANCAN_2018	NA	NA	NA	NA	NA
JMJD1C	221037	FALSE	FALSE	TRUE	NA	NA	NA	AD	FALSE	FALSE	TCGA_PANCAN_2018	0	0	10	1	0
PRDM9	56979	FALSE	FALSE	TRUE	NA	NA	NA	AD	FALSE	FALSE	TCGA_PANCAN_2018	NA	NA	NA	NA	NA
RECQL	5965	FALSE	FALSE	TRUE	NA	NA	NA	AD	FALSE	FALSE	TCGA_PANCAN_2018	1	0	0	0	1
SPRTN	83932	FALSE	FALSE	TRUE	NA	C4015461	NA	AR	FALSE	FALSE	TCGA_PANCAN_2018	2	1	0	0	0.67
NHP2	55651	FALSE	FALSE	TRUE	C3151441	NA	NA	AR	FALSE	FALSE	TCGA_PANCAN_2018	1	2	0	0	0.33
NOP10	55505	FALSE	FALSE	TRUE	C1857144	NA	NA	AR	FALSE	FALSE	TCGA_PANCAN_2018	0	1	0	0	0
SH2B3	10019	FALSE	FALSE	TRUE	NA	NA	NA	AR	FALSE	FALSE	TCGA_PANCAN_2018	NA	NA	NA	NA	NA
BRAF	673	FALSE	FALSE	TRUE	C3150970&C3150971	NA	NA	AD	TRUE	FALSE	TCGA_PANCAN_2018	0	20	5	0.2	0
KRAS	3845	FALSE	FALSE	TRUE	C1860991&C2674723	NA	NA	AD	TRUE	FALSE	TCGA_PANCAN_2018	0	18	0	0	0
MAP2K1	5604	FALSE	FALSE	TRUE	NA	NA	NA	AD	FALSE	FALSE	TCGA_PANCAN_2018	0	5	1	0.17	0
MAP2K2	5605	FALSE	FALSE	TRUE	NA	NA	NA	AD	FALSE	FALSE	TCGA_PANCAN_2018	0	4	4	0.5	0
NRAS	4893	FALSE	FALSE	TRUE	C2750732&C0334082&C1842036&C0265318&C2674723&CN166718	NA	NA	AD	TRUE	FALSE	TCGA_PANCAN_2018	1	7	0	0	0.12
RAF1	5894	FALSE	FALSE	TRUE	C1969056&C1969057	NA	NA	AD	TRUE	FALSE	TCGA_PANCAN_2018	0	15	4	0.21	0
SHOC2	8036	FALSE	FALSE	TRUE	C1843181	NA	NA	AD	FALSE	FALSE	TCGA_PANCAN_2018	0	1	2	0.67	0
